date,app_booking hour,Surge factor
20240219,21:00:00,1.222699272
20240219,22:00:00,1.350977818
20240219,23:00:00,1.403596049
20240220,00:00:00,1.318928498
20240220,06:00:00,1.328088225
20240220,07:00:00,1.297119542
20240220,08:00:00,1.215102839
20240220,09:00:00,1.327292451
20240220,10:00:00,1.33902768
20240220,11:00:00,1.35919852
20240220,12:00:00,1.326318442
20240220,13:00:00,1.3388164
20240220,14:00:00,1.409087971
20240220,15:05:00,1.347147035
20240220,16:02:00,1.318296355
20240220,17:03:00,1.320953664
20240220,18:04:00,1.35143145
20240220,19:01:00,1.270539368
20240220,20:00:00,1.312946107
20240220,21:00:00,1.323734324
20240220,22:01:00,1.347522631
20240220,23:00:00,1.361936349
20240221,00:00:00,1.356381075
20240214,06:00:00,1.343349051
20240214,07:00:00,1.30905808
20240214,08:00:00,1.597416943
20240214,09:04:00,1.380265546
20240214,11:05:00,1.429431237
20240214,12:00:00,1.327729487
20240214,13:00:00,1.385872376
20240214,14:00:00,1.387196551
20240214,15:00:00,1.713250998
20240214,16:00:00,1.650191327
20240214,17:00:00,1.636776568
20240214,18:00:00,1.666170783
20240214,19:00:00,1.711042143
20240214,20:00:00,1.648852432
20240214,21:00:00,1.618196736
20240214,22:00:00,1.54017631
20240214,23:00:00,1.548696695
20240215,00:00:00,1.384689805
20240215,06:00:00,1.371390345
20240215,07:00:00,1.542246192
20240215,08:00:00,1.416862848
20240215,09:00:00,1.572739187
20240215,10:00:00,1.367919749
20240215,11:00:00,1.416899369
20240215,12:00:00,1.391269281
20240215,13:00:00,1.373598107
20240215,14:00:00,1.466544455
20240215,15:00:00,1.449275362
20240215,16:00:00,1.69499269
20240215,17:00:00,1.651919799
20240215,18:00:00,1.703632273
20240215,19:00:00,1.648087256
20240215,20:00:00,1.697598733
20240215,21:00:00,1.425224522
20240215,22:00:00,1.605238146
20240215,23:00:00,1.436151805
20240216,00:00:00,1.438364549
20240216,06:00:00,1.398128312
20240216,07:00:00,1.327202424
20240216,08:00:00,1.514996417
20240216,09:00:00,1.334215459
20240216,10:00:00,1.344503051
20240216,11:16:00,1.395130108
20240216,12:00:00,1.354198014
20240216,13:04:00,1.366065128
